Key,Value
LMNP,Lake Mburo National Park
MGNP,Mgahinga Gorilla National Park
PAs,Protected Areas
RMNP,Rwenzori Mountains National Park
SNP,Semuliki National Park
UWA,Uganda Wildlife Authority
UNSR,Ugandan Non Student Researcher
WR,Wildlife Reserve
MOH,Ministry of Health
N/A,Not Applicable
UPhDS,Ugandan PhD Student
EAC,Citizens of East African Member States
MFNP,Murchison Falls National Park
MFIFT,Murchison Falls Invitational Fishing Tournament
FSR,Foreign Student Research
FRA/V,Foreign Research Assistant/Volunteer
UMSCS,Uganda MSC Students
FR,Foreign Residents
QENP,Queen Elizabeth National Park
LTR,Long Term Researchers (beyond 3 years)
NFSR,Non Foreign Student Research
BINP,Bwindi Impenetrable National Park
KVNP,Kidepo Valley National Park
KNP,Kibale National Park
MENP,Mount Elgon National Park
FNR,Foreign Non Residents
